Region	Sex	Age	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020
0 The whole country	Males	72	15508	15522	15262	15351	16222	15938	15467	18273	16828	16687	16913	16305	15540	15590	14743	14682	14664	14896	14321	14461	13674	13444	13346	14193	14678	15498	16138	16807	16096	18642	20399	23029	23858	26920	25994
0 The whole country	Males	73	14871	14753	14758	14541	14600	15485	15274	14795	17406	16115	15976	16194	15660	14955	14986	14193	14197	14164	14426	13912	14011	13242	13085	12975	13833	14289	15120	15730	16410	15717	18231	19952	22547	23382	26396
0 The whole country	Males	74	13807	14065	13997	13974	13796	13834	14735	14522	14039	16642	15409	15255	15478	15016	14333	14381	13647	13634	13613	13905	13424	13599	12825	12688	12586	13453	13832	14702	15277	15946	15335	17808	19486	22031	22809
0 The whole country	Males	75	12676	12996	13252	13189	13249	13000	13138	13954	13762	13325	15804	14619	14504	14750	14311	13707	13768	13049	13142	13118	13390	12946	13106	12390	12261	12196	13000	13455	14273	14836	15506	14931	17375	18987	21460
0 The whole country	Males	76	11949	11874	12196	12350	12393	12443	12205	12323	13079	13005	12555	14908	13820	13743	13973	13595	13054	13100	12458	12595	12568	12880	12436	12631	11967	11812	11770	12560	13027	13804	14357	15034	14532	16856	18447
0 The whole country	Males	77	10611	11120	11064	11369	11600	11536	11619	11446	11572	12275	12203	11792	14022	13007	12935	13206	12853	12359	12462	11892	12029	12049	12293	11903	12112	11445	11360	11355	12031	12562	13324	13890	14552	14071	16354
0 The whole country	Males	78	9496	9822	10286	10227	10528	10747	10696	10783	10640	10787	11415	11383	11067	13098	12170	12169	12331	12101	11682	11852	11267	11444	11438	11666	11341	11566	10934	10856	10870	11552	12059	12832	13364	13975	13571
0 The whole country	Males	79	8607	8705	8985	9451	9351	9677	9875	9885	9923	9873	9952	10590	10533	10255	12174	11326	11343	11494	11374	11005	11143	10644	10818	10735	11057	10758	10963	10359	10341	10400	11061	11565	12266	12839	13417
0 The whole country	Males	80	7490	7870	7885	8160	8607	8525	8858	9028	8978	9103	9051	9160	9710	9706	9473	11246	10503	10501	10747	10606	10303	10453	9942	10140	10098	10449	10171	10373	9783	9806	9879	10556	11000	11687	12269
0 The whole country	Males	81	6752	6744	7118	7132	7324	7762	7730	8012	8149	8170	8266	8232	8333	8839	8835	8673	10298	9635	9698	9875	9819	9585	9705	9267	9486	9426	9736	9540	9744	9189	9254	9349	9978	10445	11121
0 The whole country	Males	82	6134	6044	6011	6332	6395	6517	6924	6916	7171	7334	7334	7445	7385	7540	7990	7984	7850	9380	8781	8865	9060	9070	8847	8973	8554	8781	8785	9039	8863	9098	8607	8674	8776	9328	9870
0 The whole country	Males	83	5369	5455	5332	5313	5574	5680	5783	6127	6132	6352	6518	6614	6686	6552	6687	7116	7112	7045	8446	7974	8049	8248	8232	8113	8233	7854	8098	8039	8358	8182	8405	8017	8070	8177	8714
0 The whole country	Males	84	4536	4705	4728	4689	4626	4850	4919	5056	5358	5374	5533	5705	5810	5892	5746	5892	6275	6323	6269	7581	7170	7262	7431	7428	7356	7442	7087	7322	7277	7705	7496	7740	7386	7463	7548
0 The whole country	Males	85	3766	3918	4046	4126	4064	4017	4226	4267	4311	4660	4678	4798	4962	5067	5090	5009	5115	5477	5593	5564	6697	6353	6468	6602	6646	6622	6661	6376	6592	6579	6971	6831	7031	6759	6805
0 The whole country	Males	86	3135	3189	3351	3421	3551	3435	3409	3591	3567	3731	3951	4033	4126	4278	4305	4367	4308	4386	4741	4925	4836	5866	5543	5679	5787	5891	5878	5924	5685	5913	5863	6240	6130	6345	6097
0 The whole country	Males	87	2768	2652	2616	2804	2865	2986	2880	2869	2976	3012	3130	3344	3379	3506	3598	3664	3738	3680	3728	4083	4251	4183	5037	4721	4943	5023	5097	5182	5186	5040	5218	5145	5536	5434	5674
0 The whole country	Males	88	2122	2311	2193	2118	2330	2353	2478	2377	2332	2450	2433	2581	2736	2801	2908	3003	3083	3063	3054	3145	3427	3612	3558	4265	4046	4266	4310	4355	4503	4466	4398	4513	4470	4833	4752
0 The whole country	Males	89	1720	1727	1890	1766	1697	1871	1899	2032	1909	1898	1980	1988	2088	2218	2280	2386	2451	2499	2533	2540	2628	2870	3011	2990	3594	3387	3619	3660	3700	3877	3823	3768	3888	3838	4161
0 The whole country	Males	90	1373	1375	1406	1529	1401	1348	1500	1524	1616	1554	1503	1577	1598	1689	1741	1834	1894	1933	2007	2048	2021	2141	2341	2467	2429	2979	2807	2955	3038	3083	3200	3244	3162	3245	3251
0 The whole country	Males	91	1008	1069	1083	1111	1189	1088	1065	1130	1180	1280	1181	1187	1214	1268	1333	1386	1437	1510	1513	1599	1619	1616	1686	1862	1983	1932	2432	2239	2407	2429	2502	2649	2658	2625	2661
0 The whole country	Males	92	765	781	789	829	855	889	821	801	823	919	960	913	911	933	966	1001	1043	1071	1126	1174	1240	1269	1239	1240	1447	1562	1487	1909	1776	1919	1924	1992	2116	2110	2077
0 The whole country	Males	93	541	573	586	605	607	622	662	613	562	614	671	708	685	685	682	712	743	755	796	827	912	937	953	935	953	1091	1234	1109	1477	1374	1474	1484	1539	1682	1671
0 The whole country	Males	94	389	396	421	429	466	427	459	489	417	392	435	486	491	493	481	483	528	526	552	587	604	702	678	700	690	695	821	900	848	1076	1023	1111	1119	1197	1263
0 The whole country	Males	95	230	273	285	290	312	326	296	345	337	273	271	311	336	353	326	324	345	381	375	415	416	441	491	474	524	496	493	607	671	606	784	724	828	835	893
0 The whole country	Males	96	159	149	186	213	195	216	238	210	239	236	191	180	211	233	236	229	220	233	266	241	281	306	305	344	317	379	335	331	420	479	447	547	499	579	622
0 The whole country	Males	97	105	116	98	134	148	132	156	160	147	158	155	126	118	154	145	153	140	136	167	170	163	174	200	197	235	222	259	237	223	296	320	291	362	356	405
0 The whole country	Males	98	93	65	76	58	81	95	94	101	108	97	107	104	76	74	106	95	96	93	88	117	121	113	116	133	130	148	150	157	153	149	188	207	200	234	229
